order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_region,customer_segment,discount_applied,returned
ORD-01296,CLI-0140,2025-07-24,beauty,Aceite corporal,3,130.81,392.43,bank_transfer,este,returning,0,0
ORD-01147,CLI-0351,2025-09-30,home,Vela aromática,2,79.24,158.48,bank_transfer,este,new,0,0
ORD-01802,CLI-0054,2025-07-11,home,Reloj pared,3,97.67,293.01,credit_card,norte,vip,0.2,0
ORD-00908,CLI-0168,2025-08-11,electronics,Webcam HD,4,350.93,1403.72,credit_card,norte,new,0,0
ORD-00290,CLI-0066,2025-09-06,electronics,Mouse gaming,1,357.94,357.94,paypal,norte,new,0,0
ORD-01605,CLI-0007,2025-07-31,clothing,Sudadera,1,81.6,81.6,credit_card,este,vip,0,0
ORD-01392,CLI-0180,2025-09-26,electronics,Monitor 24,4,165.05,660.2,debit_card,norte,new,0.15,0
ORD-01737,CLI-0468,2025-08-07,food,Chocolate belga,3,134.82,404.46,paypal,norte,vip,0,0
ORD-00559,CLI-0022,2025-09-22,electronics,Auriculares BT,3,37.6,112.8,credit_card,norte,new,0.05,0
ORD-01874,CLI-0359,2025-08-28,home,Espejo,4,129.99,519.96,bank_transfer,norte,vip,0.15,0
ORD-01778,CLI-0299,2025-09-04,electronics,Mouse gaming,1,473.68,473.68,bank_transfer,oeste,vip,0,0
ORD-01841,CLI-0079,2025-08-02,clothing,Gorra,2,62.25,124.5,paypal,,vip,0.2,0
ORD-00281,CLI-0163,2025-08-12,food,Té matcha,2,74.54,149.08,paypal,oeste,returning,0.05,0
ORD-01469,CLI-0029,2025-08-08,clothing,Gorra,1,127.24,127.24,paypal,este,vip,0.3,1
ORD-00356,CLI-0145,2025-07-26,food,Aceite oliva,3,33.29,99.87,bank_transfer,norte,vip,0.15,0
ORD-01558,CLI-0362,2025-08-19,electronics,Mouse gaming,1,142.71,142.71,debit_card,centro,new,0.05,0
ORD-00844,CLI-0062,2025-07-10,food,Frutos secos,5,71.02,355.1,bank_transfer,oeste,returning,0,0
ORD-01298,CLI-0065,2025-09-22,electronics,Auriculares BT,5,482.96,2414.8,debit_card,norte,new,0.05,0
ORD-01753,CLI-0382,2025-09-25,food,Té matcha,3,139.32,417.96,debit_card,sur,returning,0,0
ORD-00159,CLI-0047,2025-08-06,clothing,Chaqueta,1,107.3,107.3,paypal,norte,vip,0,0
ORD-00285,CLI-0080,2025-08-16,electronics,Mouse gaming,3,420.98,1262.94,debit_card,oeste,vip,0,0
ORD-01782,CLI-0147,2025-07-02,beauty,Aceite corporal,1,138.5,138.5,bank_transfer,oeste,new,0,0
ORD-00503,CLI-0013,2025-07-28,home,Espejo,5,17.72,88.6,paypal,centro,returning,0.15,0
ORD-01227,CLI-0488,2025-09-22,beauty,Mascarilla,1,95.86,95.86,debit_card,norte,vip,0.2,0
ORD-00148,CLI-0355,2025-07-02,electronics,Monitor 24,2,183.48,366.96,bank_transfer,este,returning,0.2,0
ORD-00942,CLI-0285,2025-07-28,beauty,Bálsamo labial,5,133.57,667.85,bank_transfer,este,returning,0,0
ORD-01000,CLI-0112,2025-07-11,clothing,Sudadera,2,67.92,135.84,bank_transfer,este,new,0.1,0
ORD-00393,CLI-0068,2025-08-13,clothing,Chaqueta,2,17.12,34.24,debit_card,oeste,returning,0.05,0
ORD-00851,CLI-0379,2025-09-09,food,Miel artesanal,3,81.95,245.85,credit_card,este,new,0,0
ORD-00811,CLI-0081,2025-07-25,electronics,SSD 1TB,5,310.62,1553.1,debit_card,norte,vip,0,1
ORD-00931,CLI-0402,2025-09-23,food,Chocolate belga,1,29.82,29.82,paypal,sur,new,0.3,0
ORD-01579,CLI-0397,2025-07-16,clothing,Camiseta básica,4,57.18,228.72,bank_transfer,norte,vip,0.15,0
ORD-00904,CLI-0459,2025-09-08,food,Chocolate belga,1,37.41,37.41,debit_card,sur,returning,0.05,0
ORD-01623,CLI-0439,2025-09-14,electronics,Auriculares BT,3,83.2,249.6,credit_card,centro,vip,0.2,0
ORD-01274,CLI-0446,2025-08-25,clothing,Gorra,5,148.52,742.6,debit_card,sur,new,0.3,0
ORD-00830,CLI-0177,2025-08-05,electronics,Monitor 24,4,129.17,516.68,paypal,este,vip,0,0
ORD-01482,CLI-0284,2025-09-18,electronics,Auriculares BT,4,200.81,803.24,debit_card,sur,returning,0,0
ORD-01532,CLI-0339,2025-09-28,electronics,Webcam HD,2,75.66,151.32,paypal,sur,vip,0.1,1
ORD-01634,CLI-0174,2025-09-05,home,Marco fotos,3,93.75,281.25,paypal,este,vip,0.1,0
ORD-01916,CLI-0392,2025-09-30,food,Salsa trufa,3,120.13,360.39,debit_card,norte,vip,0,0
ORD-01666,CLI-0328,2025-09-04,home,Reloj pared,1,145.79,145.79,paypal,sur,vip,0,0
ORD-01417,CLI-0109,2025-09-16,beauty,Aceite corporal,3,66.13,198.39,bank_transfer,sur,new,0,0
ORD-00401,CLI-0146,2025-09-04,home,Organizador,1,79.0,79.0,bank_transfer,este,vip,0,1
ORD-01793,CLI-0167,2025-09-22,electronics,Mouse gaming,2,101.2,202.4,debit_card,centro,returning,0,0
ORD-00108,CLI-0391,2025-09-22,beauty,Crema facial,1,132.22,132.22,paypal,,returning,0.05,0
ORD-01513,CLI-0158,2025-08-24,clothing,Pantalón chino,4,116.54,466.16,credit_card,norte,vip,0,0
ORD-01487,CLI-0217,2025-08-15,clothing,Bufanda,4,6.07,24.28,paypal,este,returning,0,0
ORD-00071,CLI-0359,2025-08-22,electronics,Laptop,1,229.74,229.74,debit_card,norte,vip,0.05,0
ORD-01128,CLI-0474,2025-09-08,beauty,Bálsamo labial,3,93.73,281.19,bank_transfer,sur,returning,0.15,0
ORD-01474,CLI-0487,2025-08-17,home,Cojín,3,115.58,346.74,credit_card,oeste,returning,0,0
ORD-01076,CLI-0005,2025-08-14,clothing,Zapatillas running,2,25.38,50.76,paypal,sur,returning,0.3,0
ORD-01584,CLI-0107,2025-08-19,home,Organizador,4,133.46,533.84,debit_card,norte,vip,0,0
ORD-01239,CLI-0405,2025-07-20,home,Cojín,3,37.38,112.14,paypal,,new,0,1
ORD-00288,CLI-0394,2025-09-01,electronics,SSD 1TB,5,465.32,2326.6,debit_card,centro,vip,0,0
ORD-00703,CLI-0308,2025-09-07,food,Pasta italiana,2,34.9,69.8,debit_card,este,returning,0,1
ORD-01914,CLI-0049,2025-09-15,food,Salsa trufa,4,3037.33,12149.32,paypal,este,returning,0.1,0
ORD-00605,CLI-0421,2025-08-31,electronics,Cargador USB-C,2,463.22,926.44,debit_card,sur,returning,0,0
ORD-00961,CLI-0006,2025-07-02,home,Cojín,5,115.35,576.75,paypal,centro,returning,0.05,0
ORD-00363,CLI-0121,2025-09-11,electronics,Monitor 24,3,168.38,505.14,credit_card,norte,new,0,0
ORD-01399,CLI-0213,2025-09-22,electronics,Laptop,3,3088.53,9265.59,debit_card,sur,returning,0.3,0
ORD-01169,CLI-0419,2025-09-08,electronics,Cargador USB-C,1,157.95,157.95,paypal,centro,vip,0.2,0
ORD-01010,CLI-0065,2025-09-17,food,Café gourmet,3,82.83,248.49,debit_card,este,returning,0,0
ORD-00674,CLI-0019,2025-07-04,food,Miel artesanal,2,90.02,180.04,debit_card,este,vip,0.15,0
ORD-01938,CLI-0088,2025-08-09,food,Café gourmet,2,76.17,152.34,bank_transfer,norte,returning,0.3,0
ORD-00304,CLI-0459,2025-09-20,electronics,Laptop,1,203.81,203.81,paypal,sur,vip,0,0
ORD-00413,CLI-0430,2025-07-01,home,Marco fotos,5,23.4,117.0,debit_card,este,new,0,0
ORD-00717,CLI-0291,2025-07-11,food,Pasta italiana,3,29.56,88.68,paypal,centro,new,0,0
ORD-00446,CLI-0500,2025-07-03,home,Reloj pared,3,124.05,372.15,bank_transfer,norte,vip,0.15,0
ORD-01190,CLI-0414,2025-08-14,electronics,Mouse gaming,4,492.1,1968.4,paypal,sur,new,0,0
ORD-00655,CLI-0339,2025-09-06,beauty,Bálsamo labial,4,47.05,188.2,debit_card,este,returning,0.1,0
ORD-01601,CLI-0168,2025-09-28,beauty,Bálsamo labial,3,143.73,431.19,bank_transfer,,returning,0.1,0
ORD-01103,CLI-0475,2025-07-27,home,Vela aromática,3,135.27,405.81,paypal,oeste,new,0,0
ORD-01279,CLI-0126,2025-07-19,beauty,Crema facial,5,24.02,120.1,credit_card,centro,returning,0.2,0
ORD-01970,CLI-0422,2025-09-01,electronics,Webcam HD,3,281.44,844.32,debit_card,este,vip,0.15,0
ORD-01003,CLI-0187,2025-07-12,food,Pasta italiana,5,53.17,265.85,credit_card,centro,new,0.3,0
ORD-00076,CLI-0279,2025-07-11,home,Reloj pared,5,29.47,147.35,debit_card,oeste,returning,0.2,0
ORD-01462,CLI-0421,2025-09-17,home,Alfombra,5,52.57,262.85,credit_card,este,vip,0.05,0
ORD-00048,CLI-0121,2025-08-17,clothing,Pantalón chino,3,13.79,41.37,paypal,sur,vip,0.1,0
ORD-01871,CLI-0259,2025-07-04,electronics,Laptop,5,219.56,1097.8,bank_transfer,este,new,0.3,0
ORD-01310,CLI-0500,2025-07-25,beauty,Mascarilla,2,31.33,62.66,debit_card,norte,returning,0,0
ORD-02000,CLI-0319,2025-07-26,electronics,Cargador USB-C,5,88.34,441.7,credit_card,centro,new,0,0
ORD-01026,CLI-0425,2025-08-09,beauty,Protector solar,5,125.04,625.2,bank_transfer,sur,new,0.2,0
ORD-01276,CLI-0461,2025-09-21,electronics,Monitor 24,1,320.84,320.84,credit_card,centro,new,0,0
ORD-01424,CLI-0370,2025-08-24,clothing,Camiseta básica,2,5.63,11.26,bank_transfer,este,vip,0.2,0
ORD-00127,CLI-0473,2025-09-07,clothing,Gorra,1,19.93,19.93,credit_card,centro,new,0.2,0
ORD-00939,CLI-0137,2025-08-30,electronics,Monitor 24,4,462.71,1850.84,debit_card,oeste,vip,0,0
ORD-00981,CLI-0204,2025-07-16,electronics,Webcam HD,3,390.01,1170.03,paypal,norte,returning,0,0
ORD-01136,CLI-0442,2025-09-21,food,Chocolate belga,2,36.76,73.52,debit_card,sur,returning,0.15,0
ORD-01986,CLI-0308,2025-07-29,beauty,Bálsamo labial,1,37.55,37.55,paypal,norte,returning,0,0
ORD-01951,CLI-0204,2025-09-19,electronics,Webcam HD,5,469.96,2349.8,debit_card,oeste,vip,0.15,0
ORD-00628,CLI-0281,2025-09-08,beauty,Crema facial,1,34.29,34.29,paypal,norte,vip,0.05,0
ORD-01813,CLI-0400,2025-09-26,electronics,Laptop,1,358.52,358.52,paypal,norte,new,0.2,0
ORD-00038,CLI-0477,2025-08-15,food,Aceite oliva,5,35.12,175.6,debit_card,sur,vip,0,0
ORD-01116,CLI-0159,2025-07-12,food,Café gourmet,1,131.21,131.21,debit_card,norte,returning,0.3,0
ORD-01677,CLI-0212,2025-08-08,beauty,Protector solar,5,24.57,122.85,bank_transfer,centro,returning,0,0
ORD-00691,CLI-0438,2025-08-01,food,Chocolate belga,5,73.06,365.3,bank_transfer,sur,new,0,0
ORD-00761,CLI-0087,2025-07-27,clothing,Bufanda,3,74.64,223.92,bank_transfer,centro,vip,0.3,0
ORD-01480,CLI-0348,2025-08-24,home,Reloj pared,4,118.04,472.16,debit_card,este,new,0.15,0
ORD-00011,CLI-0115,2025-08-10,clothing,Sudadera,2,11.36,22.72,paypal,norte,returning,0.15,0
ORD-00284,CLI-0275,2025-09-25,electronics,Teclado mecánico,3,18.69,56.07,paypal,norte,returning,0.2,0
ORD-00695,CLI-0459,2025-07-17,electronics,Laptop,4,176.87,707.48,bank_transfer,sur,vip,0,0
ORD-00271,CLI-0403,2025-09-03,beauty,Bálsamo labial,1,83.5,83.5,bank_transfer,oeste,new,0.1,0
ORD-00747,CLI-0352,2025-07-11,home,Alfombra,1,9.78,9.78,credit_card,centro,vip,0.15,0
ORD-00375,CLI-0188,2025-09-29,home,Cojín,2,80.53,161.06,bank_transfer,centro,vip,0.1,1
ORD-01982,CLI-0197,2025-09-05,food,Salsa trufa,3,46.7,140.1,credit_card,oeste,vip,0,0
ORD-00514,CLI-0406,2025-09-06,beauty,Sérum vitamina C,3,77.38,232.14,credit_card,norte,returning,0.05,0
ORD-01910,CLI-0317,2025-09-21,electronics,Auriculares BT,5,331.52,1657.6,debit_card,este,vip,0.15,1
ORD-01511,CLI-0161,2025-08-29,home,Organizador,2,81.38,162.76,paypal,oeste,returning,0.3,0
ORD-01233,CLI-0448,2025-07-30,food,Café gourmet,2,52.7,105.4,bank_transfer,norte,returning,0,0
ORD-01529,CLI-0326,2025-08-25,food,Pasta italiana,3,127.42,382.26,paypal,sur,vip,0.15,0
ORD-01659,CLI-0326,2025-08-21,electronics,Auriculares BT,4,442.63,1770.52,debit_card,oeste,new,0.3,0
ORD-01390,CLI-0148,2025-09-19,home,Espejo,3,62.77,188.31,credit_card,norte,vip,0.1,0
ORD-01046,CLI-0223,2025-07-30,clothing,Zapatillas running,4,96.25,385.0,paypal,centro,vip,0.1,0
ORD-00093,CLI-0248,2025-08-06,beauty,Champú natural,5,21.33,106.65,paypal,centro,new,0.2,0
ORD-00248,CLI-0206,2025-09-29,electronics,SSD 1TB,1,56.21,56.21,credit_card,este,returning,0.3,0
ORD-00227,CLI-0073,2025-09-28,home,Vela aromática,3,134.09,402.27,paypal,norte,vip,0,0
ORD-01403,CLI-0201,2025-09-28,clothing,Pantalón chino,4,26.51,106.04,paypal,norte,new,0.3,0
ORD-00239,CLI-0399,2025-09-24,food,Frutos secos,2,123.11,246.22,paypal,centro,vip,0,0
ORD-00840,CLI-0498,2025-08-14,home,Cojín,5,74.69,373.45,debit_card,norte,returning,0.3,0
ORD-01286,CLI-0488,2025-07-09,home,Marco fotos,5,140.53,702.65,bank_transfer,este,new,0.15,0
ORD-00694,CLI-0054,2025-07-22,food,Frutos secos,1,10.45,10.45,bank_transfer,norte,new,0,0
ORD-00368,CLI-0257,2025-07-29,food,Té matcha,5,32.82,164.1,paypal,sur,new,0.1,0
ORD-00604,CLI-0348,2025-07-07,food,Salsa trufa,1,114.37,114.37,bank_transfer,este,vip,0,1
ORD-00591,CLI-0367,2025-09-30,electronics,Mouse gaming,5,231.32,1156.6,credit_card,norte,new,0,0
ORD-00294,CLI-0011,2025-08-15,electronics,SSD 1TB,3,426.08,1278.24,debit_card,norte,returning,0.1,0
ORD-01814,CLI-0051,2025-09-16,clothing,Camiseta básica,5,95.19,475.95,credit_card,norte,new,0.1,0
ORD-01467,CLI-0335,2025-09-05,electronics,SSD 1TB,2,200.82,401.64,bank_transfer,sur,returning,0,0
ORD-00941,CLI-0425,2025-07-30,electronics,Cargador USB-C,5,456.54,2282.7,bank_transfer,norte,new,0.1,0
ORD-01642,CLI-0201,2025-08-31,electronics,Cargador USB-C,2,53.39,106.78,debit_card,centro,vip,0,0
ORD-01463,CLI-0049,2025-08-23,beauty,Mascarilla,3,136.01,408.03,bank_transfer,norte,new,0,0
ORD-01161,CLI-0179,2025-09-03,electronics,SSD 1TB,5,56.43,282.15,credit_card,este,returning,0.3,0
ORD-00429,CLI-0453,2025-07-27,food,Frutos secos,3,5.65,16.95,debit_card,sur,new,0.15,0
ORD-01672,CLI-0200,2025-07-23,clothing,Bufanda,3,95.82,287.46,debit_card,oeste,returning,0.15,0
ORD-01267,CLI-0110,2025-07-03,electronics,Teclado mecánico,3,263.74,791.22,debit_card,norte,new,0,0
ORD-00467,CLI-0315,2025-07-20,food,Té matcha,3,89.89,269.67,bank_transfer,norte,vip,0,1
ORD-00696,CLI-0498,2025-09-22,electronics,Auriculares BT,5,205.48,1027.4,paypal,este,new,0.15,0
ORD-00461,CLI-0025,2025-08-09,home,Lámpara LED,3,112.98,338.94,bank_transfer,centro,vip,0,1
ORD-00927,CLI-0229,2025-08-23,clothing,Chaqueta,4,143.47,573.88,debit_card,sur,vip,0,0
ORD-01862,CLI-0304,2025-07-03,beauty,Perfume,2,14.52,29.04,debit_card,sur,new,0,0
ORD-00871,CLI-0261,2025-09-08,electronics,Cargador USB-C,5,9.34,46.7,paypal,este,returning,0.1,0
ORD-01363,CLI-0268,2025-08-08,food,Salsa trufa,2,61.41,122.82,paypal,norte,new,0.05,0
ORD-00430,CLI-0307,2025-07-28,home,Alfombra,3,135.23,405.69,credit_card,norte,vip,0.2,0
ORD-00082,CLI-0318,2025-09-02,electronics,SSD 1TB,3,331.1,993.3,credit_card,oeste,vip,0,0
ORD-00174,CLI-0363,2025-07-31,electronics,SSD 1TB,1,427.35,427.35,paypal,oeste,returning,0,0
ORD-01306,CLI-0142,2025-08-18,food,Té matcha,2,115.46,230.92,debit_card,sur,returning,0.3,0
ORD-01552,CLI-0145,2025-07-14,food,Miel artesanal,4,88.0,352.0,bank_transfer,norte,returning,0,0
ORD-00551,CLI-0086,2025-08-23,home,Alfombra,5,133.06,665.3,debit_card,norte,new,0.05,0
ORD-00435,CLI-0475,2025-08-19,home,Organizador,2,110.17,220.34,debit_card,norte,new,0.05,0
ORD-01226,CLI-0101,2025-07-04,food,Pasta italiana,4,58.6,234.4,paypal,sur,vip,0.05,0
ORD-00245,CLI-0081,2025-08-28,electronics,Laptop,5,468.79,2343.95,debit_card,oeste,vip,0,0
ORD-01426,CLI-0336,2025-07-25,clothing,Chaqueta,2,84.9,169.8,debit_card,sur,vip,0,1
ORD-00045,CLI-0193,2025-09-16,electronics,Teclado mecánico,3,44.5,133.5,debit_card,oeste,new,0.1,0
ORD-01842,CLI-0469,2025-08-04,beauty,Crema facial,5,25.78,128.9,debit_card,centro,vip,0,0
ORD-00283,CLI-0345,2025-09-18,electronics,Cargador USB-C,1,77.71,77.71,paypal,norte,new,0,0
ORD-00222,CLI-0393,2025-09-20,home,Vela aromática,5,30.1,150.5,bank_transfer,norte,new,0.2,0
ORD-01266,CLI-0073,2025-08-08,electronics,Mouse gaming,4,182.91,731.64,debit_card,centro,returning,0,0
ORD-01109,CLI-0409,2025-09-24,beauty,Mascarilla,2,24.32,48.64,bank_transfer,centro,returning,0.15,0
ORD-01613,CLI-0394,2025-07-20,electronics,Laptop,2,54.9,109.8,paypal,sur,new,0.1,0
ORD-01256,CLI-0360,2025-08-11,home,Organizador,1,20.53,20.53,bank_transfer,centro,returning,0,0
ORD-01998,CLI-0466,2025-09-10,electronics,Teclado mecánico,4,450.97,1803.88,credit_card,centro,returning,0.1,0
ORD-00189,CLI-0345,2025-09-13,clothing,Bufanda,4,92.6,370.4,debit_card,sur,new,0.1,0
ORD-00829,CLI-0198,2025-07-17,home,Organizador,1,28.63,28.63,debit_card,norte,vip,0.2,0
ORD-00008,CLI-0114,2025-08-22,home,Espejo,3,82.95,248.85,debit_card,norte,vip,0.05,0
ORD-01105,CLI-0067,2025-09-25,home,Marco fotos,4,20.21,80.84,debit_card,oeste,vip,0,0
ORD-01928,CLI-0092,2025-08-20,clothing,Pantalón chino,2,113.0,226.0,credit_card,este,vip,0,0
ORD-01968,CLI-0400,2025-09-09,home,Cojín,4,94.66,378.64,debit_card,norte,vip,0.15,0
ORD-00296,CLI-0374,2025-08-16,beauty,Bálsamo labial,5,138.29,691.45,debit_card,centro,returning,0.2,1
ORD-01330,CLI-0088,2025-07-11,food,Chocolate belga,1,50.87,50.87,bank_transfer,este,new,0.1,0
ORD-00565,CLI-0216,2025-08-22,beauty,Protector solar,5,124.77,623.85,debit_card,oeste,vip,0.15,0
ORD-00989,CLI-0211,2025-07-15,clothing,Sudadera,5,135.16,675.8,credit_card,este,new,0.1,0
ORD-01470,CLI-0162,2025-08-25,beauty,Aceite corporal,5,11.67,58.35,paypal,centro,new,0.1,0
ORD-00956,CLI-0220,2025-07-06,home,Alfombra,1,147.33,147.33,paypal,sur,vip,0,0
ORD-01758,CLI-0394,2025-07-03,food,Aceite oliva,5,38.01,190.05,bank_transfer,sur,new,0.2,0
ORD-01222,CLI-0444,2025-07-07,electronics,Monitor 24,3,472.71,1418.13,debit_card,centro,returning,0.05,0
ORD-01325,CLI-0067,2025-08-20,home,Reloj pared,3,46.25,138.75,debit_card,oeste,returning,0.15,0
ORD-00391,CLI-0471,2025-08-06,food,Frutos secos,1,55.93,55.93,credit_card,oeste,vip,0,0
ORD-01945,CLI-0104,2025-08-09,electronics,Monitor 24,2,498.69,997.38,debit_card,este,vip,0.3,0
ORD-00781,CLI-0216,2025-08-12,beauty,Protector solar,2,127.55,255.1,paypal,,vip,0,0
ORD-00722,CLI-0239,2025-09-18,home,Cojín,4,28.2,112.8,debit_card,norte,vip,0,0
ORD-00509,CLI-0064,2025-07-29,home,Reloj pared,1,54.13,54.13,debit_card,centro,new,0.2,0
ORD-00988,CLI-0064,2025-09-19,electronics,Auriculares BT,4,318.54,1274.16,paypal,norte,new,0.2,0
ORD-01574,CLI-0054,2025-07-12,beauty,Protector solar,5,143.98,719.9,credit_card,centro,vip,0.05,0
ORD-00358,CLI-0273,2025-08-21,beauty,Perfume,4,90.33,361.32,paypal,este,new,0.1,0
ORD-00647,CLI-0135,2025-08-14,food,Café gourmet,5,71.34,356.7,paypal,oeste,returning,0,0
ORD-01155,CLI-0392,2025-07-25,clothing,Zapatillas running,3,25.06,75.18,debit_card,norte,vip,0,0
ORD-01230,CLI-0372,2025-08-16,home,Vela aromática,2,19.87,39.74,credit_card,centro,vip,0,1
ORD-00608,CLI-0052,2025-09-04,electronics,Monitor 24,4,161.38,645.52,paypal,sur,new,0.05,0
ORD-00789,CLI-0442,2025-08-01,food,Miel artesanal,2,116.98,233.96,debit_card,centro,returning,0.15,0
ORD-01491,CLI-0158,2025-09-08,electronics,SSD 1TB,1,416.58,416.58,debit_card,sur,new,0,0
ORD-01367,CLI-0009,2025-09-12,electronics,Teclado mecánico,4,8.08,32.32,credit_card,oeste,new,0,0
ORD-01118,CLI-0091,2025-09-04,food,Chocolate belga,4,136.58,546.32,paypal,centro,returning,0.15,0
ORD-01949,CLI-0136,2025-08-20,clothing,Camiseta básica,3,11.48,34.44,bank_transfer,centro,vip,0.3,0
ORD-01020,CLI-0339,2025-09-09,electronics,Webcam HD,5,82.05,410.25,bank_transfer,centro,returning,0,1
ORD-01501,CLI-0020,2025-09-11,electronics,Auriculares BT,2,301.26,602.52,bank_transfer,este,vip,0,0
ORD-01724,CLI-0230,2025-09-04,food,Aceite oliva,4,105.89,423.56,bank_transfer,sur,vip,0.2,0
ORD-00280,CLI-0313,2025-09-24,food,Chocolate belga,2,68.43,136.86,credit_card,centro,vip,0.05,0
ORD-00005,CLI-0331,2025-09-25,beauty,Sérum vitamina C,4,110.64,442.56,bank_transfer,este,vip,0,0
ORD-01170,CLI-0345,2025-09-17,clothing,Chaqueta,4,85.61,342.44,paypal,centro,new,0,0
ORD-00109,CLI-0185,2025-07-23,food,Aceite oliva,3,61.06,183.18,bank_transfer,centro,new,0,0
ORD-00433,CLI-0031,2025-09-17,beauty,Champú natural,5,58.69,293.45,debit_card,oeste,vip,0,0
ORD-01602,CLI-0078,2025-09-03,home,Marco fotos,1,125.52,125.52,debit_card,sur,new,0.15,0
ORD-00340,CLI-0060,2025-09-15,food,Aceite oliva,4,70.38,281.52,debit_card,norte,returning,0,0
ORD-01252,CLI-0235,2025-09-05,electronics,Laptop,3,186.19,558.57,paypal,centro,vip,0,0
ORD-00860,CLI-0248,2025-09-10,food,Té matcha,1,44.75,44.75,paypal,oeste,returning,0.05,0
ORD-00214,CLI-0296,2025-08-10,home,Lámpara LED,2,126.89,253.78,credit_card,oeste,vip,0,0
ORD-00028,CLI-0098,2025-09-18,food,Frutos secos,3,100.85,302.55,bank_transfer,norte,new,0,0
ORD-01890,CLI-0131,2025-08-22,clothing,Camiseta básica,1,28.22,28.22,paypal,centro,new,0,0
ORD-00267,CLI-0333,2025-09-12,electronics,Webcam HD,3,172.92,518.76,credit_card,este,vip,0.3,0
ORD-01276,CLI-0461,2025-09-21,electronics,Monitor 24,1,320.84,320.84,credit_card,centro,new,0,0
ORD-00819,CLI-0471,2025-09-11,electronics,Monitor 24,1,289.37,289.37,debit_card,centro,returning,0,0
ORD-00690,CLI-0438,2025-08-12,beauty,Mascarilla,5,56.62,283.1,bank_transfer,oeste,vip,0.1,0
ORD-00044,CLI-0174,2025-09-16,home,Vela aromática,3,101.22,303.66,bank_transfer,sur,new,0,0
ORD-01715,CLI-0128,2025-09-13,electronics,Laptop,1,170.05,170.05,credit_card,este,new,0,0
ORD-00323,CLI-0430,2025-09-18,home,Cojín,1,17.68,17.68,paypal,oeste,returning,0.2,0
ORD-00859,CLI-0243,2025-07-14,clothing,Camiseta básica,3,53.99,161.97,paypal,centro,vip,0.1,0
ORD-01514,CLI-0107,2025-07-10,beauty,Aceite corporal,3,13.86,41.58,credit_card,centro,returning,0,0
ORD-01400,CLI-0137,2025-07-19,home,Alfombra,4,36.61,146.44,paypal,oeste,returning,0.05,0
ORD-01153,CLI-0214,2025-09-07,food,Salsa trufa,5,50.7,253.5,bank_transfer,centro,returning,0,0
ORD-01042,CLI-0074,2025-09-09,home,Lámpara LED,4,128.19,512.76,paypal,sur,new,0.1,0
ORD-01596,CLI-0367,2025-09-15,home,Reloj pared,4,36.01,144.04,credit_card,norte,new,0.1,0
ORD-01455,CLI-0110,2025-09-24,home,Vela aromática,1,117.97,117.97,bank_transfer,sur,new,0.05,0
ORD-00609,CLI-0301,2025-08-04,home,Reloj pared,5,142.75,713.75,debit_card,este,returning,0,0
ORD-00890,CLI-0103,2025-09-04,beauty,Sérum vitamina C,3,146.81,440.43,paypal,centro,returning,0.2,0
ORD-01383,CLI-0061,2025-07-23,home,Cojín,3,31.19,93.57,debit_card,norte,vip,0.3,0
